fecha,price_close
Dec 17 2018,2545.94
Dec 14 2018,2599.95
Dec 13 2018,2650.54
Dec 12 2018,2651.07
Dec 11 2018,2636.78
Dec 10 2018,2637.72
Dec 07 2018,2633.08
Dec 06 2018,2695.95
Dec 04 2018,2700.06
Dec 03 2018,2790.37
Nov 30 2018,2760.17
Nov 29 2018,2737.80
Nov 28 2018,2743.79
Nov 27 2018,2682.17
Nov 26 2018,2673.45
Nov 23 2018,2632.56
Nov 21 2018,2649.93
Nov 20 2018,2641.89
Nov 19 2018,2690.73
Nov 16 2018,2736.27
Nov 15 2018,2730.20
Nov 14 2018,2701.58
Nov 13 2018,2722.18
Nov 12 2018,2726.22
Nov 09 2018,2781.01
Nov 08 2018,2806.83
Nov 07 2018,2813.89
Nov 06 2018,2755.45
Nov 05 2018,2738.31
Nov 02 2018,2723.06
Nov 01 2018,2740.37
Oct 31 2018,2711.74
Oct 30 2018,2682.63
Oct 29 2018,2641.25
Oct 26 2018,2658.69
Oct 25 2018,2705.57
Oct 24 2018,2656.10
Oct 23 2018,2740.69
Oct 22 2018,2755.88
Oct 19 2018,2767.78
Oct 18 2018,2768.78
Oct 17 2018,2809.21
Oct 16 2018,2809.92
Oct 15 2018,2750.79
Oct 12 2018,2767.13
Oct 11 2018,2728.37
Oct 10 2018,2785.68
Oct 09 2018,2880.34
Oct 08 2018,2884.43
Oct 05 2018,2885.57
Oct 04 2018,2901.61
Oct 03 2018,2925.51
Oct 02 2018,2923.43
Oct 01 2018,2924.59
Sep 28 2018,2913.98
Sep 27 2018,2914.00
Sep 26 2018,2905.97
Sep 25 2018,2915.56
Sep 24 2018,2919.37
Sep 21 2018,2929.67
Sep 20 2018,2930.75
Sep 19 2018,2907.95
Sep 18 2018,2904.31
Sep 17 2018,2888.80
Sep 14 2018,2904.98
Sep 13 2018,2904.18
Sep 12 2018,2888.92
Sep 11 2018,2887.89
Sep 10 2018,2877.13
Sep 07 2018,2871.68
Sep 06 2018,2878.05
Sep 05 2018,2888.60
Sep 04 2018,2896.72
Aug 31 2018,2901.52
Aug 30 2018,2901.13
Aug 29 2018,2914.04
Aug 28 2018,2897.52
Aug 27 2018,2896.74
Aug 24 2018,2874.69
Aug 23 2018,2856.98
Aug 22 2018,2861.82
Aug 21 2018,2862.96
Aug 20 2018,2857.05
Aug 17 2018,2850.13
Aug 16 2018,2840.69
Aug 15 2018,2818.37
Aug 14 2018,2839.96
Aug 13 2018,2821.93
Aug 10 2018,2833.28
Aug 09 2018,2853.58
Aug 08 2018,2857.70
Aug 07 2018,2858.45
Aug 06 2018,2850.40
Aug 03 2018,2840.35
Aug 02 2018,2827.22
Aug 01 2018,2813.36
Jul 31 2018,2816.29
Jul 30 2018,2802.60
Jul 27 2018,2818.82
Jul 26 2018,2837.44
Jul 25 2018,2846.07
Jul 24 2018,2820.40
Jul 23 2018,2806.98
Jul 20 2018,2801.83
Jul 19 2018,2804.49
Jul 18 2018,2815.62
Jul 17 2018,2809.55
Jul 16 2018,2798.43
Jul 13 2018,2801.31
Jul 12 2018,2798.29
Jul 11 2018,2774.02
Jul 10 2018,2793.84
Jul 09 2018,2784.17
Jul 06 2018,2759.82
Jul 05 2018,2736.61
Jul 03 2018,2713.22
Jul 02 2018,2726.71
Jun 29 2018,2718.37
Jun 28 2018,2716.31
Jun 27 2018,2699.63
Jun 26 2018,2723.06
Jun 25 2018,2717.07
Jun 22 2018,2754.88
Jun 21 2018,2749.76
Jun 20 2018,2767.32
Jun 19 2018,2762.59
Jun 18 2018,2773.75
Jun 15 2018,2779.66
Jun 14 2018,2782.49
Jun 13 2018,2775.63
Jun 12 2018,2786.85
Jun 11 2018,2782.00
Jun 08 2018,2779.03
Jun 07 2018,2770.37
Jun 06 2018,2772.35
Jun 05 2018,2748.80
Jun 04 2018,2746.87
Jun 01 2018,2734.62
May 31 2018,2705.27
